,light,heating,cooling,total
Beijing_A_none,15.705,4.027991071,33.38277779,53.11576886
Beijing_B_shade,20.8098,12.91438789,27.91458469,61.63877258
Beijing_C_both,18.9126,9.871785809,27.73320453,56.51759034
Beijing_D_all,17.9244,8.322807287,28.12096734,54.36817463
Shanghai_A_none,17.3142,1.966984256,40.69187034,59.9730546
Shanghai_B_shade,20.6028,4.262679397,35.06767874,59.93315814
Shanghai_C_both,19.359,3.361332302,35.1337728,57.8541051
Shanghai_D_all,18.5688,2.863955684,35.62454225,57.05729794
Xiamen_A_none,17.7354,0.183444002,57.03984156,74.95868556
Xiamen_B_shade,20.412,0.434333547,48.87655676,69.72289031
Xiamen_C_both,19.4958,0.322059398,49.97982206,69.79768146
Xiamen_D_all,18.9666,0.273712875,50.67758191,69.91789479
